"file","url","status","bytes","sha256"
"2015-03-10 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-10%20Pictures%20(Hoshi).pdf","already-present","13384674","B021126851744966CE5594B7DA4813568B0189CE6BA539CE657612B9693F6E2B"
"2015-03-10 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-10%20Pictures%20(Mochizuki).pdf","already-present","19520243","FE831623EB4C3C9B7CC2795EE24E71EA50DED18E1962CA54A430DE5BD58939AE"
"2015-03-11 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-11%20Pictures%20(Hoshi).pdf","already-present","12869405","0849256202132EEE54BBCB0DC7E40DDE4B4F4E64981D9F9976DBA6B1A93486E5"
"2015-03-11 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-11%20Pictures%20(Mochizuki).pdf","already-present","16831388","BDF76164FE0D06ABF916B6DAF5C67D8190BC536B31F9A4231E7EEE6A6CFFE97F"
"2015-03-12 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-12%20Pictures%20(Hoshi).pdf","already-present","15747126","03D49A8BDA86EF2F07F3B97D00C4FC2DA998C8C65982BBFB849FF384DBD34D1B"
"2015-03-12 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-12%20Pictures%20(Mochizuki).pdf","already-present","19742996","DBED733FD75E1F28CA8ED5A9A7CE2F7BB07A6C693D277C6BBEB29A265A562F11"
"2015-03-13 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-13%20Pictures%20(Hoshi).pdf","already-present","7361702","8789EF84A4BE34C2D18007997D5BD38BF8C4128E230723F0428F543F15004247"
"2015-03-13 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-13%20Pictures%20(Mochizuki).pdf","already-present","19213537","AC884C704768B4A3AE041C19BB7CE7A4BA1655C553CAAE83C9830827074E075E"
"2015-03-16 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-16%20Pictures%20(Hoshi).pdf","already-present","14021574","17D6D3217436B5F883A15FC9CC3394CC921F379240511B55E4162889139ADA4D"
"2015-03-16 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-16%20Pictures%20(Mochizuki).pdf","already-present","9408710","8B82010D05241E1308E25DA2E2952EA829AB375ED693AB7F9E210ED72FFCD623"
"2015-03-17 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-17%20Pictures%20(Hoshi).pdf","already-present","14552586","978AC6490DB50E2AB4C23AE4CDA1F5C7962E82DF31EC2DBABE60F3805FF31964"
"2015-03-17 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-17%20Pictures%20(Mochizuki).pdf","already-present","13060560","0F0E2453B4A8D8C13A97D3001A9BBF6A4679B9A6B6793ADD727F1B824F595820"
"2015-03-18 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-18%20Pictures%20(Hoshi).pdf","already-present","17961130","FC77D81B7A43824EB5FE98E0E0ACD910B5E128953AB8B928D034805E8CC86658"
"2015-03-18 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-18%20Pictures%20(Mochizuki).pdf","already-present","15196483","4CC5AB8C5280235DA67A13741DA393A5F605B26FBE87296555189324BFEC4E62"
"2015-03-19 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-19%20Pictures%20(Hoshi).pdf","already-present","18014204","60B0BC3CE4BB5C99193090C6B428FD394904ACCB67F07AFB3BA8EE794143A95C"
"2015-03-19 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-19%20Pictures%20(Mochizuki).pdf","already-present","14726678","64ED992FF42577C2C5BA79ED8B7346158D791D9B12CD5CF9864EBE8624C70DBA"
"2015-03-20 Pictures (Hoshi).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-20%20Pictures%20(Hoshi).pdf","already-present","16948004","A80E08CE17289176C87ADAF873A83090FB73F1B698046C284A833CD89C17AA1D"
"2015-03-20 Pictures (Mochizuki).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-03-20%20Pictures%20(Mochizuki).pdf","already-present","14352055","221D991201669DEA7AB1D74A2DF0007E7C61E1A433355A5368D4060B559CE8BD"
"2015-04-24 Indecomposability of Various Profinite Groups Arising from Hyperbolic Curves.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-04-24%20Indecomposability%20of%20Various%20Profinite%20Groups%20Arising%20from%20Hyperbolic%20Curves.pdf","already-present","145484","EB733774B6F4F30277C1FB52A9B903493F7E28BCB605FDF54AC7A8E8FA824C47"
"2015-10-18 Degeneration of Period Matices.pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2015-10-18%20Degeneration%20of%20Period%20Matices.pdf","already-present","183696","FD64D1CF18CC795A1C53157A92F5719B022A0503DBCA75F827D146EA3B0D921F"
"2016-01-25 Minamide on Combinatorial Anabelian Geometry (1).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-01-25%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(1).pdf","already-present","15575414","EA1A3CDF4660789985F9595B95679A8E402C8CD8BD27BC538AA1C8903D1DBA1E"
"2016-01-25 Minamide on Combinatorial Anabelian Geometry (2).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-01-25%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(2).pdf","already-present","13445710","4B4A5593364474CD8153506CD8CAE822469AE1D7A560BDB09FEA683AAC3D71BC"
"2016-01-25 Minamide on Combinatorial Anabelian Geometry (3).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-01-25%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(3).pdf","already-present","13929665","BF481C5B2A5353479740151454A382A4F01A4BD768025B44EB4357C2509DAA38"
"2016-01-25 Minamide on Combinatorial Anabelian Geometry (4).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-01-25%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(4).pdf","already-present","14510921","CAF8EC0B625FEF329F027ABE223C5C2BC5BEE55E30F2170CC347F4F0A82418D9"
"2016-03-15 Minamide on Combinatorial Anabelian Geometry (1).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-03-15%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(1).pdf","already-present","13417743","618606BC4BBD2CDBAAF57A1EDB7171D904220552DA94A7AB97B17123AD999388"
"2016-03-15 Minamide on Combinatorial Anabelian Geometry (2).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-03-15%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(2).pdf","already-present","13221031","3F0455D6B3C1013A98531CE0AC795281390691B7C37F84C7BCF98EEA9C33B0C2"
"2016-03-15 Minamide on Combinatorial Anabelian Geometry (3).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-03-15%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(3).pdf","already-present","12835360","51B725516841E3677DBBBF4D15ABD982BFE573E8FCDD55D798C3F484B84FFF7E"
"2016-03-15 Minamide on Combinatorial Anabelian Geometry (4).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-03-15%20Minamide%20on%20Combinatorial%20Anabelian%20Geometry%20(4).pdf","already-present","11004463","DD032AAA40643C32D4A9C8B4A4DF6AE5FCA59467876A4EB9AF2D085E8C35D827"
"2016-05-24-1 Introduction to multiple zeta values (Yamashita).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-05-24-1%20Introduction%20to%20multiple%20zeta%20values%20(Yamashita).pdf","already-present","13946349","F0E4610D2BD17561E1938BEDCF581DC46634649674C5A24E29BEC0738708C1B8"
"2016-05-24-2 Introduction to multiple zeta values (Yamashita).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-05-24-2%20Introduction%20to%20multiple%20zeta%20values%20(Yamashita).pdf","already-present","13725807","D4E96CB09EB68CFC49BF3617042B46042E9BDB7E55C2EAEC59BABA9D179F42A7"
"2016-05-24-3 Introduction to multiple zeta values (Yamashita).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-05-24-3%20Introduction%20to%20multiple%20zeta%20values%20(Yamashita).pdf","already-present","13521034","EFF1B037049D83C3621086230E8F8D5F6284779AA263141AACF3D7100D83E040"
"2016-05-24-4 Introduction to multiple zeta values (Yamashita).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-05-24-4%20Introduction%20to%20multiple%20zeta%20values%20(Yamashita).pdf","already-present","13161099","A731FB6E0E06735701CABF6DCB320CDC624CA7FA36D0B672C98F07916E9AF3AF"
"2016-05-24-5 Introduction to multiple zeta values (Yamashita).pdf","https://www.kurims.kyoto-u.ac.jp/~motizuki/2016-05-24-5%20Introduction%20to%20multiple%20zeta%20values%20(Yamashita).pdf","already-present","13019797","2DFA523164D2247847D045831F0713991A624801DA98512027AC03A6E6D9ABBD"
